Textos_espanol,sdg,palabras
"Este capítulo explora la posición general de las víctimas en los juicios penales en Alemania, un sistema inquisitivo tradicional, y Australia, un sistema mayoritariamente acusatorio. El anÃ¡lisis tiene en cuenta cÃ³mo se entiende actualmente la justicia penal en cada sistema. Posteriormente, explora si la introducciÃ³n de los derechos de participaciÃ³n de las vÃctimas en los dos Estados puede considerarse una ruptura con la concepciÃ³n tradicional de la justicia penal como un conflicto entre el Estado y el acusado y un avance hacia un modelo de proceso centrado en la vÃctima. Esto incluye el anÃ¡lisis de los motivos del poder legislativo para la introducciÃ³n de los derechos de participaciÃ³n de las vÃctimas, cuando los haya, asÃ como las reacciones que este tipo de reforma legislativa ha provocado en la profesiÃ³n jurÃdica, las instituciones polÃticas y el mundo acadÃ©mico. A la luz de los resultados de Alemania y Australia, se plantea la cuestiÃ³n de si es probable que las futuras reformas legislativas en el Ã¡mbito de los derechos procesales de las vÃctimas produzcan los resultados previstos.",16,capitul explor posicion general victim juici penal alemani sistem inquisit tradicional australi sistem mayoritari acusatori analisis cuent ca3m entiend actual justici penal cad sistem posterior explor si introduccia3n derech participacia3n vactim dos pued consider ruptur concepcia3n tradicional justici penal conflict acus avanc haci model proces centr vactim inclu analisis motiv pod legisl introduccia3n derech participacia3n vactim asa reaccion tip reform legisl provoc profesia3n jurad institu polat mund acadam luz result alemani australi plante cuestia3n si probabl futur reform legisl ambit derech procesal vactim produzc result previst capitulo explora posicion general victimas juicios penales alemania sistema inquisitivo tradicional australia sistema mayoritariamente acusatorio analisis cuenta ca3mo entiende actualmente justicia penal cada sistema posteriormente explora si introduccia3n derechos participacia3n vactimas do puede considerarse ruptura concepcia3n tradicional justicia penal conflicto acusado avance hacia modelo proceso centrado vactima incluye analisis motivos poder legislativo introduccia3n derechos participacia3n vactimas asa reacciones tipo reforma legislativa provocado profesia3n juradica instituciones polaticas mundo acadamico luz resultados alemania australia plantea cuestia3n si probable futuras reformas legislativas ambito derechos procesales vactimas produzcan resultados previstos
"Dado que los organismos centrales parecen definir las misiones y los objetivos, pero no invierten los medios necesarios para alcanzarlos, la coordinación entre estos ámbitos políticos es escasa. Además, la intensa competencia entre distintos ministerios es habitual en la coordinación de las políticas de agua, energía y agricultura en varios países de ALC. En Chile, las políticas del agua en el sector agrícola son diseñadas por dos ministerios distintos con intereses diferentes: el Ministerio de Obras Públicas, a través de su Oficina de Infraestructura Hídrica (presas, riego, etc.) Por último, la asignación poco clara de funciones y la falta de incentivos institucionales para la cooperación también se citan como preocupaciones comunes para la coherencia de las políticas del agua-energía y del agua-agricultura.",6,dad organ central parec defin mision objet inviert medi necesari alcanz coordin ambit polit escas adem intens competent distint ministeri habitual coordin polit agu energi agricultur vari pais alc chil polit agu sector agricol disen dos ministeri distint interes diferent ministeri obras public trav oficin infraestructur hidric pres rieg etc ultim asign clar funcion falt incent institucional cooper tambi cit preocup comun coherent polit aguaenergi aguaagricultur dado organismos centrales parecen definir misiones objetivos invierten medios necesarios alcanzarlos coordinacion ambitos politicos escasa ademas intensa competencia distintos ministerios habitual coordinacion politicas agua energia agricultura varios paises alc chile politicas agua sector agricola disenadas do ministerios distintos inter diferentes ministerio obras publicas traves oficina infraestructura hidrica presas riego etc ultimo asignacion clara funciones falta incentivos institucionales cooperacion tambien citan preocupaciones comunes coherencia politicas aguaenergia aguaagricultura
"Los psicólogos de la paz hacen hincapié en la importancia de reconocer tanto las bases directas como las estructurales de la paz y el conflicto. En el análisis de la psicología de la paz sobre el terrorismo que aquí se presenta, intento profundizar en nuestra comprensión de las bases del terrorismo en el contexto de cómo las desigualdades en las estructuras políticas, económicas y sociales pueden alimentar o exacerbar el terrorismo. Analizo la eficacia de las respuestas al terrorismo en términos del modelo tripartito de mantenimiento, establecimiento y consolidación de la paz de respuesta no violenta a la violencia.",16,psicolog paz hac hincapi import reconoc bas direct estructural paz conflict analisis psicologi paz terror aqui present intent profundiz comprension bas terror context desigualdad estructur polit econom social pued aliment exacerb terror analiz eficaci respuest terror termin model tripartit manten establec consolid paz respuest violent violenci psicologos paz hacen hincapie importancia reconocer base directas estructurales paz conflicto analisis psicologia paz terrorismo aqui presenta intento profundizar comprension base terrorismo contexto desigualdades estructuras politicas economicas sociales pueden alimentar exacerbar terrorismo analizo eficacia respuestas terrorismo terminos modelo tripartito mantenimiento establecimiento consolidacion paz respuesta violenta violencia
"La Conferencia de Palermo representa un importante paradigma de responsabilidad cívica que encierra importantes lecciones globales para el tipo de solidaridad y cooperación necesarias para transformar la dura realidad de la tiranía privada e incluso pública en los ideales más elevados de la decencia cívica. Es el predicado que defiende el precepto del Estado de Derecho como componente estabilizador y transformador de un orden mundial que honre y respete la dignidad de todas las personas. El tema del simposio en el que se presentÃ³ por primera vez este documento fue, por supuesto, el Estado de Derecho en la aldea global. MÃ¡s concretamente, el tÃtulo es ""El Estado de Derecho: Â¿CÃ³mo afecta la convenciÃ³n de la ONU contra la delincuencia organizada transnacional, en general, a los temas principales que acabamos de especificar? Â¿QuÃ© tiene que ver la convenciÃ³n con el Estado de Derecho y la comunidad del espacio terrestre, visualizada como una aldea global?",16,conferent palerm represent import paradigm respons civic encierr import leccion global tip solidar cooper necesari transform dur realid tirani priv inclus public ideal mas elev decenci civic predic defiend precept derech component estabiliz transform orden mundial honr respet dignid tod person tem simposi presenta3 primer vez document supuest derech alde global mas concret tatul derech aca3m afect convencia3n onu delincuent organiz transnacional general tem principal acab especific aqu ver convencia3n derech comun espaci terrestr visualiz alde global conferencia palermo representa importante paradigma responsabilidad civica encierra importantes lecciones globales tipo solidaridad cooperacion necesarias transformar dura realidad tirania privada incluso publica ideales mas elevados decencia civica predicado defiende precepto derecho componente estabilizador transformador orden mundial honre respete dignidad todas personas tema simposio presenta3 primera vez documento supuesto derecho aldea global mas concretamente tatulo derecho aca3mo afecta convencia3n onu delincuencia organizada transnacional general temas principales acabamos especificar aqua ver convencia3n derecho comunidad espacio terrestre visualizada aldea global
"En estas pilas se pueden utilizar distintos materiales para el cátodo y el ánodo, lo que permite diseñar una amplia gama de pilas con comportamientos diferentes. Las hay de alta densidad energética, como las de LiCo02, y de alta densidad energética, como las de Li-titanato. Los vehículos eléctricos disponen de baterías y pueden prestar servicios devolviendo energía a la red, lo que se conoce como ""vehículo a red"" (V2G). Este flujo bidireccional de energía puede utilizarse para reducir los picos de consumo, controlar la frecuencia o como respaldo de emergencia.",7,pil pued utiliz distint material catod anod permit disen ampli gam pil comport diferent alta densid energet lico02 alta densid energet lititanat vehicul electr dispon bateri pued prest servici devolv energi red conoc vehicul red v2g fluj bidireccional energi pued utiliz reduc pic consum control frecuenci respald emergent pilas pueden utilizar distintos materiales catodo anodo permite disenar amplia gama pilas comportamientos diferentes alta densidad energetica lico02 alta densidad energetica lititanato vehiculos electricos disponen baterias pueden prestar servicios devolviendo energia red conoce vehiculo red v2g flujo bidireccional energia puede utilizarse reducir picos consumo controlar frecuencia respaldo emergencia
"Existe una gran lista de abusos sufridos por los indígenas, principalmente represión y violencia, donde comunidades enteras no tienen garantizada la protección de sus derechos y se les niega el acceso a sus tierras, lesionando disposiciones de la Constitución Federal y del Convenio 169 de la OIT, dispositivos que protegen sus derechos tradicionales y territoriales. Estos hechos, más el genocidio sufrido por los pueblos indígenas, lesionan los derechos humanos de estos pueblos, haciendo que la Comisión Interamericana de Derechos Humanos intervenga en el asunto. Desde este punto de vista y dado este marco ambiental es evidente la importancia de la búsqueda efectiva en la protección de los derechos de los pueblos indígenas. Este trabajo tiene como objetivo construir una mirada crítica sobre las interfaces entre la actuación y la eficacia de la Comisión Interamericana de Derechos Humanos para garantizar su protección y hacer una síntesis de los principales resultados de la literatura que se refiere a la categoría indígena.",16,exist gran list abus sufr indigen principal represion violenci comun enter garantiz proteccion derech nieg acces tierr lesion disposicion constitucion federal conveni one hundred and sixtynin oit disposit proteg derech tradicional territorial hech mas genocidi sufr puebl indigen lesion derech human puebl hac comision interamerican derech human interveng asunt punt vist dad marc ambiental evident import busqued efect proteccion derech puebl indigen trabaj objet constru mir critic interfac actuacion eficaci comision interamerican derech human garantiz proteccion hac sintesis principal result literatur refier categori indigen existe gran lista abusos sufridos indigenas principalmente represion violencia comunidades enteras garantizada proteccion derechos niega acceso tierras lesionando disposiciones constitucion federal convenio one hundred and sixtynine oit dispositivos protegen derechos tradicionales territoriales hechos mas genocidio sufrido pueblos indigenas lesionan derechos humanos pueblos haciendo comision interamericana derechos humanos intervenga asunto punto vista dado marco ambiental evidente importancia busqueda efectiva proteccion derechos pueblos indigenas trabajo objetivo construir mirada critica interfaces actuacion eficacia comision interamericana derechos humanos garantizar proteccion hacer sintesis principales resultados literatura refiere categoria indigena
"La ""calidad comparativa"" del derecho consuetudinario y el derecho civil se ha convertido en una cuestiÃ³n de polÃtica, desde que La Porta, Lopes-de-Silanes, Shleifer y Vishny (LLSV) desarrollaron su ""teorÃa de los orÃgenes legales"" (LOT) afirmando que los paÃses de derecho consuetudinario disfrutan de mejor gobernanza y rendimiento econÃ³mico que los paÃses de derecho civil. Influyendo en la metodologÃa de los informes ""Haciendo negocios"" del Banco Mundial y en los anÃ¡lisis de paÃses de las agencias de calificaciÃ³n, la LOT afecta a la solvencia de los paÃses en transformaciÃ³n y en desarrollo y, por tanto, pone en duda la ayuda a las reformas legales en estos paÃses procedente de fuentes de derecho civil. Este capÃtulo introductorio propone un mapa de las cuestiones metodolÃ³gicas que se plantean en tÃ©rminos teÃ³ricos y polÃticos. Revisar la metodologÃa de LOT requiere encontrarse con LLSV en el terreno interdisciplinar de la teorÃa polÃtica, la sociologÃa y la economÃa, que ellos han elegido, al tiempo que la extienden a las disciplinas de la economÃa institucional, el derecho comparado, la historia jurÃdica y la filosofÃa de la ciencia, que han descuidado.",16,calid compar derech consuetudinari derech civil convert cuestia3n polat port lopesdesilan shleif vishny llsv desarroll teora oragen legal lot afirm paas derech consuetudinari disfrut mejor gobern rendimient econa3m paas derech civil influ metodologa inform hac negoci banc mundial analisis paas agenci calificacia3n lot afect solvenci paas transformacia3n desarroll pon dud ayud reform legal paas procedent fuent derech civil capatul introductori propon map cuestion metodola3g plant tarmin tea3ric polat revis metodologa lot requier encontr llsv terren interdisciplin teora polat sociologa economa eleg tiemp extiend disciplin economa institucional derech compar histori jurad filosofa cienci descuid calidad comparativa derecho consuetudinario derecho civil convertido cuestia3n polatica porta lopesdesilanes shleifer vishny llsv desarrollaron teoraa oragenes legales lot afirmando paases derecho consuetudinario disfrutan mejor gobernanza rendimiento econa3mico paases derecho civil influyendo metodologaa inform haciendo negocios banco mundial analisis paases agencias calificacia3n lot afecta solvencia paases transformacia3n desarrollo pone duda ayuda reformas legales paases procedente fuentes derecho civil capatulo introductorio propone mapa cuestiones metodola3gicas plantean tarminos tea3ricos polaticos revisar metodologaa lot requiere encontrarse llsv terreno interdisciplinar teoraa polatica sociologaa economaa elegido tiempo extienden disciplinas economaa institucional derecho comparado historia juradica filosofaa ciencia descuidado
"El amplio estudio financiado por la Comisión Europea sobre la financiación de las ampliaciones de la red para las energías renovables, conocido como GreenNet-Incentives, ofrece en su ""Plan de acción"" un resumen de los argumentos (CE, 2009). Se trata de una cuestiÃ³n crucial en relaciÃ³n con las energÃas renovables, especialmente la eÃ³lica marina. Los factores de carga pueden ser muy favorables, por ejemplo, lejos de la costa, con el Ãºnico problema de que los costes de transporte serÃ¡n rÃ¡pidamente prohibitivos a medida que aumente la distancia a los centros de consumo.",7,ampli estudi financi comision europe financi ampliacion red energi renov conoc greennetincentiv ofrec plan accion resum argument ce two thousand and nin trat cuestia3n crucial relacia3n energ renov especial ea3lic marin factor carg pued ser favor ejempl lej cost aonic problem cost transport ser rapid prohibit med aument distanci centr consum amplio estudio financiado comision europea financiacion ampliaciones red energias renovables conocido greennetincentives ofrece plan accion resumen argumentos ce two thousand and nine trata cuestia3n crucial relacia3n energaas renovables especialmente ea3lica marina factor carga pueden ser favorables ejemplo lejos costa aonico problema cost transporte seran rapidamente prohibitivos medida aumente distancia centros consumo
"Los desafíos a la seguridad nacional en la era del terrorismo no obligan a un cambio constitucional. Por el contrario, lo que se requiere es la adhesión gubernamental a las disposiciones que rigen la guerra y la paz y la seguridad nacional. En el Federalista nº 51, James Madison observó que el gran reto al que se enfrentaba Estados Unidos en 1787 era obligar al gobierno a obedecer la Constitución. Ese sigue siendo el gran reto en nuestro tiempo. Los presidentes deben dejar de engrandecer el poder bélico, y el Congreso debe reafirmar su autoridad constitucional en el ámbito de la guerra, los asuntos exteriores y la seguridad nacional. El resurgimiento del Congreso, la participaciÃ³n en discusiones y debates vigorosos, bien puede depender de una ciudadanÃa despierta, comprometida con las virtudes y valores del constitucionalismo estadounidense y el imperio de la ley, dispuesta a exigir al gobierno que rinda cuentas por el cumplimiento de sus responsabilidades constitucionales.",16,desafi segur nacional terror oblig cambi constitucional contrari requier adhesion gubernamental disposicion rig guerr paz segur nacional federal fiftyon jam madison observ gran ret enfrent unid one thousand seven hundred and eightysev oblig gobiern obedec constitucion sig siend gran ret tiemp president deb dej engrandec pod belic congres deb reafirm autor constitucional ambit guerr asunt exterior segur nacional resurg congres participacia3n discusion debat vigor bien pued depend ciudadana despiert compromet virtud valor constitucional estadounidens imperi ley dispuest exig gobiern rind cuent cumplimient respons constitucional desafios seguridad nacional terrorismo obligan cambio constitucional contrario requiere adhesion gubernamental disposiciones rigen guerra paz seguridad nacional federalista fiftyone jam madison observo gran reto enfrentaba unidos one thousand seven hundred and eightyseven obligar gobierno obedecer constitucion sigue siendo gran reto tiempo presidentes deben dejar engrandecer poder belico congreso debe reafirmar autoridad constitucional ambito guerra asuntos exteriores seguridad nacional resurgimiento congreso participacia3n discusiones debate vigorosos bien puede depender ciudadanaa despierta comprometida virtudes valores constitucionalismo estadounidense imperio ley dispuesta exigir gobierno rinda cuentas cumplimiento responsabilidades constitucionales
"Este artículo examina las reformas de la gobernanza de la policía local en Inglaterra y Gales durante las dos últimas décadas, desde la gerencialización de la policía a principios de la década de 1990 hasta los recientes planes para la introducción de Comisarios de Policía y Crimen. Esta ""visiÃ³n a largo plazo"" facilita la apreciaciÃ³n de los cambios polÃticos en los regÃmenes organizativos, inicialmente del profesionalismo de oficina al gerencialismo, y mÃ¡s recientemente del gerencialismo a un modelo hibrido de gobernanza local que combina elementos del consumismo, el localismo democrÃ¡tico y el profesionalismo de oficina. Sin embargo, estos regímenes actúan menos como estructuras determinantes que como equilibrios inestables abiertos a la contestación y la negociación. Basándose en las ideas de los estudios sobre la gubernamentalidad y la gobernanza, el artículo examina el progreso de las reformas y muestra que el ""éxito"" de los cambios de régimen depende de la traducción de los regímenes a la práctica. Más concretamente, entender los regímenes como discursos nos permite...",16,articul examin reform gobern polici local inglaterr gal dos ultim dec gerencializ polici principi dec one thousand nine hundred and ninety recient plan introduccion comisari polici crim visia3n larg plaz facilit apreciacia3n cambi polat regamen organiz inicial profesional oficin gerencial mas recient gerencial model hibr gobern local combin element consum local democrat profesional oficin embarg regimen actu men estructur determin equilibri inest abiert contest negoci bas ide estudi gubernamental gobern articul examin progres reform muestr exit cambi regim depend traduccion regimen practic mas concret entend regimen discurs permit articulo examina reformas gobernanza policia local inglaterra gales do ultimas decadas gerencializacion policia principios decada one thousand nine hundred and ninety recientes plan introduccion comisarios policia crimen visia3n largo plazo facilita apreciacia3n cambios polaticos regamenes organizativos inicialmente profesionalismo oficina gerencialismo mas recientemente gerencialismo modelo hibrido gobernanza local combina elementos consumismo localismo democratico profesionalismo oficina embargo regimenes actuan menos estructuras determinantes equilibrios inestables abiertos contestacion negociacion basandose ideas estudios gubernamentalidad gobernanza articulo examina progreso reformas muestra exito cambios regimen depende traduccion regimenes practica mas concretamente entender regimenes discursos permite
"El movimiento por los derechos civiles en Estados Unidos se nutrió de los defensores de los derechos humanos de todo el mundo. Una vez que los responsables políticos estadounidenses -influidos por la presión internacional, el valor de los ciudadanos de a pie y el deseo de liderazgo mundial- firmaron documentos como la Carta de las Naciones Unidas, las peticiones nacionales de cambio pudieron basarse directamente en la autoridad moral de las doctrinas que Estados Unidos respaldaba en el extranjero. Este es uno de los muchos y fascinantes vínculos entre la política racial y los asuntos internacionales que se exploran en Ventana a la libertad. De amplio alcance cronológico y diversidad temática, los diez ensayos originales que aquí se presentan demuestran cómo las raíces de la política exterior estadounidense han estado imbricadas en factores sociales, económicos y culturales de origen tanto nacional como extranjero. Argumentan persuasivamente que la campaña para hacer realidad los plenos derechos civiles de las minorías raciales y étnicas en Estados Unidos se entiende mejor en el contexto de unas relaciones internacionales competitivas.",16,movimient derech civil unid nutri defensor derech human mund vez respons polit estadounidens influ presion internacional valor ciudadan pie dese liderazg mundial firm document cart nacion unid peticion nacional cambi pud bas direct autor moral doctrin unid respald extranjer fascin vincul polit racial asunt internacional explor ventan libert ampli alcanc cronolog divers temat diez ensay original aqui present demuestr raic polit exterior estadounidens imbric factor social econom cultural orig nacional extranjer argument persuas campan hac realid plen derech civil minori racial etnic unid entiend mejor context unas relacion internacional competit movimiento derechos civiles unidos nutrio defensores derechos humanos mundo vez responsables politicos estadounidenses influidos presion internacional valor ciudadanos pie deseo liderazgo mundial firmaron documentos carta naciones unidas peticiones nacionales cambio pudieron basarse directamente autoridad moral doctrinas unidos respaldaba extranjero fascinantes vinculos politica racial asuntos internacionales exploran ventana libertad amplio alcance cronologico diversidad tematica diez ensayos originales aqui presentan demuestran raices politica exterior estadounidense imbricadas factor sociales economicos culturales origen nacional extranjero argumentan persuasivamente campana hacer realidad plenos derechos civiles minorias raciales etnicas unidos entiende mejor contexto unas relaciones internacionales competitivas
"Contenidos: Reorientando el positivismo jurídico: Aspectos democráticos del positivismo ético, Tom Campbell El positivismo ético y el liberalismo del miedo, Martin Krygier Perspectivas feministas sobre el positivismo ético, Nicola Lacey El separatismo jurídico y el concepto de persona, Margaret Davies Positivismo y diferencia, Helen Stacy ¿Está el positivismo jurídico comprometido con el intencionalismo?, Natalie Stoljar Una teoría del derecho en perspectiva, Walter Sinnott-Armstrong El positivismo jurídico y la autonomía contingente del derecho, Fredrick Schauer. Assemblies v. Courts in Democratic Theory and Practice: The philosophical foundations of parliamentary sovereignty, Jeffrey Goldsworthy Legislation by assembly, Jeremy Waldron Defining judicial restraint, John Daley A patchwork quilt theory of constitutional interpretation, Walter Sinnott-Armstrong Citizenship, race and adjudication, Margaret Thornton The vice of judicial activism, Arthur Glass The role of law and the role of lawyers, Tim Dare Judicial activism and the rule of law in Australia, Leslie Zines Judicial activism and judicial review in the high court of Australia, George Williams Index.",16,conten reorient positiv jurid aspect democrat positiv etic tom campbell positiv etic liberal mied martin krygi perspect femin positiv etic nicol lacey separat jurid concept person margaret davi positiv diferent hel stacy positiv jurid compromet intencional natali stolj teori derech perspect walt sinnottarmstrong positiv jurid autonomi contingent derech fredrick schau assembli v courts in democratic theory and practic the philosophical foundations of parliamentary sovereignty jeffrey goldsworthy legislation by assembly jeremy waldron defining judicial restraint john daley patchwork quilt theory of constitutional interpretation walt sinnottarmstrong citizenship rac and adjudication margaret thornton the vic of judicial activism arthur glass the rol of law and the rol of lawyers tim dar judicial activism and the rul of law in australi lesli zin judicial activism and judicial review in the high court of australi georg williams index contenidos reorientando positivismo juridico aspectos democraticos positivismo etico tom campbell positivismo etico liberalismo miedo martin krygier perspectivas feministas positivismo etico nicola lacey separatismo juridico concepto persona margaret davies positivismo diferencia helen stacy positivismo juridico comprometido intencionalismo natalie stoljar teoria derecho perspectiva walter sinnottarmstrong positivismo juridico autonomia contingente derecho fredrick schauer assemblies v court in democratic theory and practice the philosophical foundations of parliamentary sovereignty jeffrey goldsworthy legislation by assembly jeremy waldron define judicial restraint john daley patchwork quilt theory of constitutional interpretation walter sinnottarmstrong citizenship race and adjudication margaret thornton the vice of judicial activism arthur glass the role of law and the role of lawyers tim dare judicial activism and the rule of law in australia leslie zines judicial activism and judicial review in the high court of australia george williams index
"El derecho internacional de los derechos humanos es una ciencia jurídica de creciente importancia por la existencia del bloque de constitucionalidad y la validez y preponderancia que adquieren sus normas en el derecho interno. Cada día, el catálogo de derechos humanos se amplía a través de nuevos instrumentos internacionales como los tratados y la interpretación de los ya existentes adquiere nuevos matices. En ese sentido, los derechos humanos emergentes han ido irrumpiendo en la última década en este escenario, son considerados nuevos derechos y compiten por un lugar en la normativa internacional y de los Estados.",16,derech internacional derech human cienci jurid crecient import existent bloqu constitucional validez preponder adquier norm derech intern cad dia catalog derech human ampli trav nuev instrument internacional trat interpret existent adquier nuev matic derech human emergent ido irrump ultim dec escenari consider nuev derech compit lug normat internacional derecho internacional derechos humanos ciencia juridica creciente importancia existencia bloque constitucionalidad validez preponderancia adquieren normas derecho interno cada dia catalogo derechos humanos amplia traves nuevos instrumentos internacionales tratados interpretacion existentes adquiere nuevos matices derechos humanos emergentes ido irrumpiendo ultima decada escenario considerados nuevos derechos compiten lugar normativa internacional
"Las organizaciones recurren cada vez más a las inconmensurables cantidades de datos disponibles a través de medios de código abierto como la web y las redes sociales para aumentar su capacidad analítica y, en última instancia, mejorar la calidad y cantidad de la información de que disponen para tomar decisiones. Los cuerpos y fuerzas de seguridad no son una excepción a esta tendencia, y cada vez se hacen más esfuerzos por utilizar los macrodatos para complementar las formas tradicionales de inteligencia utilizadas habitualmente en las labores de prevención y respuesta a la delincuencia. En este capítulo se analiza una faceta específica de esta capacidad: el uso de datos de fuentes abiertas y herramientas analíticas para detectar la motivación criminal y la intención en fuentes abiertas de cometer delitos relacionados con la ciberdelincuencia y el ciberterrorismo. Más concretamente, el capítulo analiza y perfila los distintos tipos de ataque y las herramientas utilizadas para facilitarlos con el fin de obtener una visión completa de las motivaciones subyacentes de los ciberatacantes.",16,organiz recurr cad vez mas inconmensur cantidad dat dispon trav medi codig abiert web red social aument capac analit ultim instanci mejor calid cantid inform dispon tom decision cuerp fuerz segur excepcion tendenci cad vez hac mas esfuerz utiliz macrodat complement form tradicional inteligent utiliz habitual labor prevencion respuest delincuent capitul analiz facet especif capac uso dat fuent abiert herramient analit detect motiv criminal intencion fuent abiert comet delit relacion ciberdelincuent ciberterror mas concret capitul analiz perfil distint tip ataqu herramient utiliz facilit fin obten vision complet motiv subyacent ciberatac organizaciones recurren cada vez mas inconmensurables cantidades datos disponibles traves medios codigo abierto web rede sociales aumentar capacidad analitica ultima instancia mejorar calidad cantidad informacion disponen tomar decisiones cuerpos fuerzas seguridad excepcion tendencia cada vez hacen mas esfuerzos utilizar macrodatos complementar formas tradicionales inteligencia utilizadas habitualmente labor prevencion respuesta delincuencia capitulo analiza faceta especifica capacidad uso datos fuentes abiertas herramientas analiticas detectar motivacion criminal intencion fuentes abiertas cometer delitos relacionados ciberdelincuencia ciberterrorismo mas concretamente capitulo analiza perfila distintos tipos ataque herramientas utilizadas facilitarlos fin obtener vision completa motivaciones subyacentes ciberatacantes
"Estas correlaciones indican, por supuesto, que es necesario seguir investigando sobre la importancia de la mano de obra en los costes de fabricación y explotación de las energías renovables. Como se muestra en esta tabla, la mayoría de los puestos (46% de las ocupaciones identificadas) requieren un aprendizaje, generalmente disponible a través de los sindicatos artesanales, el 31% de los puestos requieren la graduación de la escuela secundaria, y el 23% requieren algún tipo de título universitario, y el 7% requieren un título de ingeniería. Aunque no es comparable a la explotación de centrales nucleares (sería comparable a una fábrica de fabricación de módulos para un pequeño reactor modular (SMR), sin embargo hay poca información disponible públicamente sobre la organización de una fábrica de SMR, véase EPI, 2010: p. 28), el número de ingenieros necesarios para producir turbinas eólicas está muy por debajo del número necesario para producir y explotar reactores nucleares, aunque es similar al número de ingenieros necesarios para explotar una instalación de gestión de residuos (NEA, de próxima publicación: p. 79).",7,correl indic supuest necesari segu investig import man obra cost fabric explot energi renov muestr tabl mayori puest fortysix ocup identific requier aprendizaj general dispon trav sindicat artesanal thirtyon puest requier graduacion escuel secundari twentythre requier algun tip titul universitari sev requier titul ingenieri aunqu compar explot central nuclear seri compar fabric fabric modul pequen reactor modul smr embarg poc inform dispon public organiz fabric smr veas epi two thousand and t p twentyeight numer ingenier necesari produc turbin eolic debaj numer necesari produc explot reactor nuclear aunqu simil numer ingenier necesari explot instal gestion residu nea proxim public p seventynin correlaciones indican supuesto necesario seguir investigando importancia mano obra cost fabricacion explotacion energias renovables muestra tabla mayoria puestos fortysix ocupaciones identificadas requieren aprendizaje generalmente disponible traves sindicatos artesanales thirtyone puestos requieren graduacion escuela secundaria twentythree requieren algun tipo titulo universitario seven requieren titulo ingenieria aunque comparable explotacion centrales nucleares seria comparable fabrica fabricacion modulos pequeno reactor modular smr embargo poca informacion disponible publicamente organizacion fabrica smr vease epi two thousand and ten p twentyeight numero ingenieros necesarios producir turbinas eolicas debajo numero necesario producir explotar reactores nucleares aunque similar numero ingenieros necesarios explotar instalacion gestion residuos nea proxima publicacion p seventynine
"La eficiencia media de la generación a gas en la región mejoró del 37% en 1990 al 49% en 2014, la más alta a nivel mundial. Las pérdidas de transporte y distribución de electricidad disminuyeron del 8,2% en 1990 al 7,2% en 2014 (8,9% a nivel mundial), la menor entre todas las regiones del mundo, mientras que las pérdidas de transporte y distribución de gas natural cayeron del 1,2% al 0,6%. Entre las razones de este resultado figuran unos sólidos mecanismos de apoyo. Además, contribuyeron la mayor aplicación de mecanismos de apoyo más flexibles basados en el mercado, como las subastas, la disminución general de los costes de instalación y la mayor concienciación sobre la viabilidad de los proyectos de energías renovables en la mayor parte de la región.",7,eficient medi gener gas region mejor thirtysev one thousand nine hundred and ninety fortynin two thousand and fourt mas alta nivel mundial perd transport distribucion electr disminu 82 one thousand nine hundred and ninety 72 two thousand and fourt 89 nivel mundial menor tod region mund mientr perd transport distribucion gas natural cayeron 12 06 razon result figur sol mecan apoy adem contribu mayor aplic mecan apoy mas flexibl bas merc subast disminucion general cost instal mayor concienci viabil proyect energi renov mayor part region eficiencia media generacion gas region mejoro thirtyseven one thousand nine hundred and ninety fortynine two thousand and fourteen mas alta nivel mundial perdidas transporte distribucion electricidad disminuyeron 82 one thousand nine hundred and ninety 72 two thousand and fourteen 89 nivel mundial menor todas regiones mundo mientras perdidas transporte distribucion gas natural cayeron 12 06 razones resultado figuran solidos mecanismos apoyo ademas contribuyeron mayor aplicacion mecanismos apoyo mas flexibles basados mercado subastas disminucion general cost instalacion mayor concienciacion viabilidad proyectos energias renovables mayor parte region
"El papel de las instituciones judiciales en el desarrollo del Derecho internacional ha sido una cuestiÃ³n abierta desde los tiempos del Tribunal Permanente de Justicia Internacional. Ya en 1934, Hersch Lauterpacht había afirmado que ""la elaboración de leyes judiciales es una característica permanente de la administración de justicia en todas las sociedades"". En muchos aspectos, si el adjetivo ""judicial"" puede utilizarse como relativo a un tribunal de justicia o a un sistema de tribunales de justicia que se dedican a la administración de justicia dentro de un ordenamiento jurídico, la comprensión del papel del poder judicial en la elaboración de leyes sigue siendo una cuestión fundamental en cuanto a la naturaleza y la forma de un sistema jurídico.",16,papel institu judicial desarroll derech internacional sid cuestia3n abiert tiemp tribunal permanent justici internacional one thousand nine hundred and thirtyfour hersch lauterpacht habi afirm elabor ley judicial caracterist permanent administr justici tod sociedad aspect si adjet judicial pued utiliz relat tribunal justici sistem tribunal justici dedic administr justici dentr orden jurid comprension papel pod judicial elabor ley sig siend cuestion fundamental cuant naturalez form sistem jurid papel instituciones judiciales desarrollo derecho internacional sido cuestia3n abierta tiempos tribunal permanente justicia internacional one thousand nine hundred and thirtyfour hersch lauterpacht habia afirmado elaboracion leyes judiciales caracteristica permanente administracion justicia todas sociedades aspectos si adjetivo judicial puede utilizarse relativo tribunal justicia sistema tribunales justicia dedican administracion justicia dentro ordenamiento juridico comprension papel poder judicial elaboracion leyes sigue siendo cuestion fundamental cuanto naturaleza forma sistema juridico
